nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;;destacada;expedientenumero
escuela primaria coman  09 dr josa benjaman zubiaur mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de impermeabilizacion de cubiertas;883167;8;villa soldati;berg carlos 3460;-35∞ -22' 10,85'';-59∞ -29' 22,34'';24/10/2016;16/6/2017;8;100;di pietro paolo rubens ernesto;2016;licitacion publica;1816/sigaf/2014;20044899532;vecinos;10;46213850;;
escuela primaria coman  11 ponciano vivanco mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de impermeabilizacion de cubiertas;1176216;8;villa lugano;oliden 2851;-35∞ -24' 56,31'';-59∞ -34' 0,23'';24/10/2016;16/6/2017;8;100;di pietro paolo rubens ernesto;2016;licitacion publica;1816/sigaf/2014;20044899532;vecinos;10;46213850;;
escuela infantil  05 mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de impermeabilizacion de cubiertas;174274;7;parque chacabuco;martinez victor 1780;-35∞ -23' 51,49'';-59∞ -30' 2,28'';24/10/2016;16/6/2017;8;100;di pietro paolo rubens ernesto;2016;licitacion publica;1816/sigaf/2014;20044899532;vecinos;10;46213850;;
escuela primaria coman  18 san juan bautista de la salle mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de impermeabilizacion de cubiertas;160446;8;villa soldati;corrales 3450;-35∞ -25' 1,21'';-59∞ -38' 27,46'';24/10/2016;16/6/2017;8;100;di pietro paolo rubens ernesto;2016;licitacion publica;1816/sigaf/2014;20044899532;vecinos;10;46213850;;
escuela primaria  20 maestro carlos alberto carranza mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de impermeabilizacion de cubiertas;688681;8;villa soldati;martinez castro 3067;-35∞ -25' 1,09'';-59∞ -38' 27,69'';24/10/2016;16/6/2017;8;100;di pietro paolo rubens ernesto;2016;licitacion publica;1816/sigaf/2014;20044899532;vecinos;10;46213850;SI;
jardan de infantes integral  03 mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de impermeabilizacion de cubiertas;360499;5;boedo;independencia av 3354;-35∞ -25' 0,67'';-59∞ -38' 28,48'';24/10/2016;16/6/2017;8;100;di pietro paolo rubens ernesto;2016;licitacion publica;1816/sigaf/2014;20044899532;vecinos;10;46213850;;
escuela primaria coman  06 dr carlos vaz ferreira mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de impermeabilizacion de cubiertas;624752;7;flores;varela av 1040;-35∞ -26' 53,90'';-59∞ -33' 25,46'';24/10/2016;16/6/2017;8;100;di pietro paolo rubens ernesto;2016;licitacion publica;1816/sigaf/2014;20044899532;vecinos;10;46213850;;
escuela primaria coman  04 ricardo gairaldes mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de impermeabilizacion;92787;8;villa lugano;riestra av 5030;-35∞ -24' 21,66'';-59∞ -36' 49,98'';24/10/2016;16/6/2017;8;100;di pietro paolo rubens ernesto;2016;licitacion publica;1816/sigaf/2014;20044899532;vecinos;10;46213850;;
cancha y plaza castaniares y lacarra;Finalizada;espacio publico;ministerio de desarrollo humano y habitat;recuperacian del espacio para reconvertirlo en un espacio de uso recreativo cultural y deportivo colocacion de rejilllas reparacion y cambio de las rejas perimetrales en la cancha existente  dotacion de equipamiento y mejoramiento del espacio publico para el sector de descanso y cultural realizacion de canteros de contencian en los bordes linderos a la autopista;2380554;8;villa soldati;castaaares av y lacarra av;-35∞ -23' 51,87'';-59∞ -32' 47,65'';23/10/2017;1/6/2018;8;100;cooperativa;2017;licitacion publica;1816/sigaf/2014;30505454436;4597;42;46213850;;
barrio 1 11 14 cancha varela y frentes perito moreno;Finalizada;espacio publico;ministerio de desarrollo humano y habitat;recuperacion del espacio publico que se encuentra en la interseccian de las calles varela y perito moreno y la realizacian de las mejoras de fachadas de viviendas comprendidas en dicho eje;5928273;7;flores;varela av y moreno perito av;-35∞ -24' 55,83'';-59∞ -33' 36,65'';10/4/2017;15/12/2017;8;100;ernesto tarnousky sa;2016;licitacion publica;1816/sigaf/2014;30628970714;14386;10;46213850;;
av santa fe reparacion de veredas;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;obra compleja de 8 cuadras entre callaopueyrredon;31570801;2;recoleta;santa fe av 1997;-35∞ -23' 3,43'';-59∞ -36' 33,84'';15/9/2017;21/5/2018;8;100;miavasa sa;2016;licitacion publica;1816/sigaf/2014;30677303863;vecinos;10;46213850;;
barrio 31 perette veredas;Finalizada;espacio publico;ministerio de desarrollo humano y habitat;la obra implica la realizacian de las veredas macetones cordones luminarias para la calle perette;48321490;1;retiro;gendarmeria nacional av 679;-35∞ -20' 20,34'';-59∞ -31' 54,51'';31/3/2017;7/11/2017;8;100;construcciones infraestructura y servicios sa;2017;licitacion publica;1383sigaf/16;30710393881;43190;15;2,71E+11;;2017-24987133-MGEYA- DGIURB
camaras derivadoras;Finalizada;hidraulica e infraestructura;secretaria de transporte y obras publicas;el nuevo emisario tendra 84 km de extension y permitira duplicar la capacidad de conduccian de agua del emisario principal ya existente hasta su desembocadura en el ra≠≠o de la plata el monto total del segundo emisario del arroyo vega es $2893118429 incluye asta y 5 obras mas;300000000;13;belgrano;av rafael obligado 6125;-35∞ -25' 24,10'';-59∞ -33' 1,75'';3/12/2018;6/8/2019;8;100;vega + roggio + castellone + supercemento;2015;licitacion publica;lpi 644/2015;30715327275;vecinos;10;46213850;;
barrio 31 guemes 11 y 16 mejoramiento integral;Finalizada;vivienda;ministerio de desarrollo humano y habitat;en razgos generales el proyecto consistia en los siguientes procesos primero se comunica a los vecinos sobre la posibilidad de participar del programa de mejoramiento luego los arquitectos realizaron un relevamiento tacnico sociohabitacional en el que se hizo un analisis por cada unidad funcional y se genera un proyecto especa≠≠fico para cada caso a partir de aha≠≠ se trabaja en la validacian del proyecto con el vecino y con instancias y modulos participativos la obra comenza tras la firma de la carta de adhesian por parte de las familias estos protocolos se desarrollaron de manera simultanea tanto para las refacciones del interior como del exterior de las viviendas el proceso de mejora se apoya sobre los siguientes ejes redistribucion interna iluminacion ventilacian red electrica accesibilidad cubierta y terminaciones actualmente se trabaja sobre 42 unidades funcionales sobre un total de 60;300000000;1;retiro;gendarmeria nacional av 679;-35∞ -26' 2,45'';-59∞ -32' 44,58'';30/10/2017;30/12/2019;8;100;dagresa vial construcciones srl;2017;licitacion publica;1816/sigaf/2014;33712269079;43190;10;46213850;SI;
barrio 31 cancha 7;Finalizada;espacio publico;ministerio de desarrollo humano y habitat;con la lagica de regenerar el espacio publico como un espacio principalmente de uso deportivo de recreacian y esparcimiento se reordena para demarcar de manera clara los espacios de uso exclusivo deportivo y de juegos de ninios se busca jerarquizar las circulaciones a fin de que no se interrumpan unas con otras y favoreciendo la accesibilidad toda la superficie de cancha de fatbol se realiza de cemento de color asa≠≠mismo la iluminacion general del espacio se realiza enteramente en led con posibilidad de telegestian a fin de integrarse a la red de alumbrado de caba por altimo se sumaron diversos tipos de vegetacian a fin de incrementar la huella verde dentro del espacio publico el area de accian se realiza sobre 880m2;21649898;1;retiro;gendarmeria nacional av 679;-35∞ -21' 34,09'';-59∞ -33' 23,29'';1/10/2018;1/4/2019;8;100;cooperativa;2018;licitacion publica;2,27E+11;30714602760;43190;10;46213850;;
distrito joven  infraestructura;Finalizada;arquitectura;secretaria de transporte y obras publicas;obras de infraestructura puesta en valor de veredas av costanera y plazoleta  etapa 1;9084806895;14;palermo;av costanera y plazoleta;0∞ 0' 0,00'';0∞ 0' 0,00'';4/1/2021;4/9/2021;8;100;naku construcciones srl;2020;licitacion publica;13sigaf2020;30575292174;vecinos;10;46213850;;
puente de la mujer;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;armado de andamios en estructura central pintura del casco del puente desvastado de mastil y pintura;160736591;1;puerto madero;juana manuela gorriti 951;-35∞ -26' 41,95'';-59∞ -36' 53,36'';31/3/2022;19/12/2022;8;100;logistical;2022;contratacian de varias empresas;88110078lpu21;30710573030;vecinos;10;46213850;;14602920/DGEV/2018
barrio fraga infraestructura ejes principales;Finalizada;hidraulica e infraestructura;instituto de la vivienda;infraestructura en el barrio histarico en ejes principales (palpa y guevara) y secundarios  incluye red de agua red cloacal pluvial electricidad luminaria y espacio publico;128466840;15;chacarita;fraga y garcia teodoro;-35∞ -26' 41,95'';-59∞ -36' 53,36'';21/2/2022;28/10/2022;8;100;ilubaires sa;2019;licitacion publica;lp57/19;30693811860;2764;25;46213850;;23657848-2017-MGEYA-DGOPDU
ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 sector 3 ypf;Finalizada;vivienda;ministerio de desarrollo humano y habitat;Äúejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 de la ciudad de buenos aires  ypf;80816340;1;retiro;evita 1296;-35∞ -21' 1,04'';-59∞ -37' 17,58'';15/7/2022;15/3/2023;8;100;blue steel sa;2022;licitacion publica abreviada;102090016lpa22;30709422967;36;10;2,02E+11;;
parque carrasco;Finalizada;espacio publico;secretaria de proyectos y obras;construccion de un nuevo espacio publico en el sector 4 del distrito joven denominado punta carrasco;9482583394;14;palermo;av costanera rafael obligado la desembocadura del arroyo ugarteche la desembocadura del arroyo maldonado y las orillas del ra≠o de la plata;-35∞ -22' 18,92'';-59∞ -39' 41,99'';14/3/2023;23/12/2023;8;100;naku construcciones srlaltote saparque carrascout;2022;licitacion publica;101790168lpu22;30717998681;los principales beneficiarios seran los vecinos de los barrios de palermo y recoleta por su proximidad en un segundo plano la comunidad en su totalidad se vera beneficiada tanto por la continuidad del camino de sirga y del corredor verde propuesto por el master plan como por la puesta en valor del pulman verde que representa el predio;10;2022416858;;
crc belgrano  cad inchausti;Finalizada;instalaciones;subsecretaria de proyectos y obras;puesta bajo norma instalaciones alectricas sanitarias gas y termomecanicas del centro de regimen cerrado belgrano y del edificio cad inchausti;1542643229;3;balvanera;av belgrano 2670/tte gral juan domingo peran 2048;-34603577∞ 0' 0,00'';-58381004∞ 0' 0,00'';1/3/2023;31/10/2023;8;100;instalectro sa;2022;licitacion publica;101790129lpu22;33661628729;empleados e internos de los centros de regimen cerrado;10;2,02E+11;;EE?2018?22282725?DGRIEG
internacion de salud mental 10 camas;Finalizada;salud;ministerio de salud;la obra consistio en la readecuacion de un sector en pb para la incorporacian de una internacion de salud mental;22869000;15;villa ortuzar;combatientes de malvinas 3002;-35∞ -25' 21,39'';-59∞ -38' 51,28'';5/6/2023;10/1/2024;8;100;ses sa;2022;licitacion publica;rs202319080645 ssass;30647727545;vecinos;10;46213850;;
internacion de salud mental 10 camas;Finalizada;salud;ministerio de salud;readecuacion del sector ubicado en el ala norte del cuarto piso del pabellon romano para la incorporacian de un area de salas de internacian para pacientes de sexo femenino;24298000;6;caballito;diaz velez 5044;-34595702∞ 0' 0,00'';-58376951∞ 0' 0,00'';1/3/2023;13/9/2023;8;100;kion saic;2022;licitacion publica;resol2023151gcabassass;33522512279;vecinos;10;46213850;;
consultorios externos aa pb;Finalizada;salud;ministerio de salud;aire acondicionado pabellon 1 pb;32800000;15;villa ortuzar;combatientes de malvinas 3002;-34610481∞ 0' 0,00'';-58467447∞ 0' 0,00'';2/9/2021;30/1/2022;8;100;controlclim;2021;2095;40110189oc21;30708689412;vecinos;10;46213850;;2019-12269070
comisaria comunal 1;Finalizada;arquitectura;ministerio de seguridad;trabajos realizados en guardia interna y calabozos estacionamiento impermeabilizacion en la terraza con nueva aislacian hidrafuga y solados de baldosones de hormigon fachada con colocacion de revestimiento tipo alucobond barandas de acero inoxidable nuevos artefactos de iluminacion y pintura nuevos sanitarios en sector de atencian de publico y pintura general de toda la comisara≠≠a;19496209;1;retiro;suipacha 1156;0∞ 0' 0,00'';0∞ 0' 0,00'';10/12/2016;16/8/2017;8;100;dejesus constructora srl;2016;decreto  433/16;no aplica;30713272708;38635;15;2,02E+11;;
provision y colocacion de instalacion contra incendios para playa de acarreos  herrera 2116 caba;Finalizada;arquitectura;secretaria de transporte y obras publicas;red de incendio;20228000;4;barracas;herrera y rio cuarto;-35∞ -21' 1,87'';-59∞ -34' 16,08'';15/12/2022;12/8/2023;8;100;industrias maÅs;2022;Licitacion Publica Bac;73231092lpu22;30707041990;usuarios;10;2,02E+11;;
renovacion de instalaciones edificio registro civil  etapa 1;Finalizada;instalaciones;subsecretaria de proyectos y obras;actualizacian y puesta bajo norma de las instalaciones del registro civil de uruguay av 749;2978287207;1;san nicolas;uruguay 749/753/757;-34.594.279;-58.416.107;14/8/2023;22/4/2024;8;100;"soluciones termohidrofugas srl	";2023;licitacion publica;101790034lpu23;30702139062;trabajadores y publico en general;10;2,02E+11;;
ejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 de la ciudad de buenos airesetapa ii;Finalizada;vivienda;ministerio de desarrollo humano y habitat;Äúejecucion rehabilitacion y mantenimiento de viviendas del barrio 31 de la ciudad de buenos aires etapa 2 lote 1Äù;52964886037;1;retiro;quetzal 772;-35∞ -27' 11,48'';-59∞ -33' 29,45'';27/1/2020;27/9/2022;8;1;"villarex sa
bosquimano sa
desarrolladora los tilos sa";2019;licitacion publica;443sigaf2019;"30712097996
30711470022
30710622848
";50;18;46213850;;
obelisco;En Ejecucion;arquitectura;ministerio de espacio publico e higiene urbana;"el proyecto consiste en la incorporacian de un ascensor para que turistas y ciudadanos 
puedan experimentar el ascenso por el interior del a≠cono mas representativo de la ciudad de buenos aires llegando a uno de los puntos panoramicos mas  relevantes";188890400;1;san nicolas;av 9 de julio y av corrientes;-35∞ -27' 4,17'';-59∞ -35' 43,37'';1/2/2023;30/9/2023;8;0;servas;2022;licitacion publica;3510071lpu22;30605965055;vecinos;10;46213850;;
playon ferroviario colegiales;En Ejecucion;arquitectura;secretaria de transporte y obras publicas;puesta en valor de dos galpones ubicados en el playon ferroviario de colegiales los mismo seran refuncionalizados a fin de albergar programas de caracter semipublico compatibles con el nuevo parque;9186227964;13;colegiales;av federico lacroze 2775;-35∞ -27' 54,38'';-59∞ -32' 15,55'';15/12/2022;15/8/2023;8;0;naku construcciones srl;2022;licitacion publica;101790105lpu22;30575292174;vecinos;10;2,02E+11;;
parque de la memoria confiteria;En Licitacion;arquitectura;secretaria de transporte y obras publicas;construccion de un espacio destinado a cafetera≠a dentro del predio del parque de la memoria contara con un gran salon vidriado con vistas hacia el ra≠o una zona de apoyo de servicio y sanitarios publicos;117280000;13;belgrano;rafael costanera obligado av 7001;-35∞ -25' 3,68'';-59∞ -36' 2,92'';28/12/2022;30/8/2023;8;0;cunumi sa;2022;licitacion publica;101790103lpu22;30615748036;vecinos;10;2,02E+11;;
registro civil etapa 1 instalaciones;En Licitacion;instalaciones;secretaria de transporte y obras publicas;actualizacian y puesta bajo norma de las instalaciones del registro civil de uruguay av 749;14428815645;1;san nicolas;uruguay 749/753/757;-34590550∞ 0' 0,00'';-58372502∞ 0' 0,00'';14/8/2023;14/4/2024;8;0;en licitacion;2023;licitacion publica;101790019lpu23;30505454436;vecinos;10;46213850;;
aa quirofanos 1er etapa 8vo piso;En Ejecucion;salud;ministerio de salud;la obra consistio en la provision e instalacion de sistema de tratamiento de aire acondicionado central con condiciones especiales de filtrado y desinfeccian mediante radiacian uvc para quirofanos y esterilizacion cmq 8 piso del hospital;235452720;6;caballito;diaz velez 5044;-35∞ -26' 19,09'';-59∞ -31' 24,58'';9/6/2023;30/7/2024;8;0;controlclim;2023;2095;4010130lpu23;30708689412;vecinos;10;46213850;;
barrio 20 sector consolidado  red peatonal y alumbrado;Recision;espacio publico;instituto de la vivienda;realizacian de la ejecucion de veredas y dotacian del alumbrado publico;59922292;8;villa lugano;sector consolidado' villa 20;-35∞ -21' 22,08'';-59∞ -33' 2,40'';16/12/2017;31/10/2022;7;100;urban baires sa;2017;licitacion publica nacional;lpn 699/17;30711290075;33350;10;46213850;;EX-2015-03683859- -MGEYA-DGPUYA
metrobus del bajo aceras  etapa i;Finalizada;transporte;secretaria de transporte y obras publicas;se realiza la ejecucion y reconstruccion de las aceras vados y superficies destinadas a va≠≠a pablica de uso peatonal que integran la traza del corredor metrobus del bajo (etapa 1) a fin de mejorar la transitabilidad y accesibilidad en la ciudad autanoma de buenos aires;40185440;1;monserrat;Hipolito Yrigoyen y paseo Colon;-35∞ -24' 31,79'';-59∞ -38' 10,77'';3/11/2016;6/6/2017;7;100;miavasa sa;2017;licitacion publica;124/sigaf/2017;30677303863;300000;10;2,02E+11;;
ecoparque adecuacion de pgma comedorbiblioteca nutrician;Finalizada;arquitectura;secretaria de transporte y obras publicas;se realizaron trabajos de reparacion y readecuacion de los recintos denominados depasito gastronomico y patio de comidas a los efectos de nuevos usos como guarda de material bibliografico (biblioteca)  area de nutrician y comedor para personal ecoparque respectivamente;1649170;14;palermo;republica de la india 3000;-35∞ -26' 41,95'';-59∞ -36' 53,36'';9/5/2017;7/12/2017;7;100;industrias mas srl;2017;licitacion publica;95100943lpu17;30707041990;vecinos;10;2,02E+11;;
ecoparque intervenciones correctivas de urgencia en recintos;Finalizada;arquitectura;secretaria de transporte y obras publicas;se repararon y adecuaron un extremo del recinto (45) para recibir a un oso hormiguero trece aguta≠≠ y una corzuela a efectos de mejora de cumplimiento de actuales estandares de bienestar animal y condiciones de seguridad para los ejemplares en cuestian;3123200;14;palermo;republica de la india 3000;-35∞ -26' 41,95'';-59∞ -36' 53,36'';1/5/2017;20/12/2017;7;100;construcciones infraestructura y servicios sa;2017;licitacion publica;95101003lpu17;30710393881;vecinos;10;2,02E+11;;20621168--MGEYA-2016
hospital ramos mejaa  ampliacion central gases madicos vacao y aire comprimido;Finalizada;salud;ministerio de salud;la obra consistia en la ampliacion central de gases madicos vaca≠≠o y aire comprimido para su puesta en norma;3317643;3;balvanera;urquiza gral 609;-35∞ -25' 3,07'';-59∞ -35' 37,76'';20/11/2017;18/6/2018;7;100;ses sa;2014;adicional de mantenimiento;78/2014;30647727545;vecinos;7;46213850;;
hospital penna  modificaciones en el sistema de clmatizacian de neonatologaa;Finalizada;salud;ministerio de salud;la obra involucra trabajos complementarios a la obra de donacian del centro obstatrico / neonatologa≠≠a del hospital penna y que resultaron indispensables para el correcto funcionamiento de ambos servicios consistieron en la ejecucion de refuerzos estructurales en losa y bases existentes la readecuacion del sector en planta baja para traslado provisorio de dormitorios madicos de guardia (incluye a a) cambio de tramo de recorrido de caaera≠≠a troncal de gases medicinales y conexian desde subestacion hospital penna a tablero principal centro obstatrico;350000;4;parque patricios;chutro pedro prof dr 3380;-35∞ -23' 3,43'';-59∞ -36' 33,84'';20/2/2017;8/9/2017;7;100;tecnaran srl;2017;decreto  433/16;676/2016;30710210000;vecinos;7;46213850;;
hospital marie curie  construccion de una nueva morgue;Finalizada;salud;ministerio de salud;la obra consistia en la construccion de una nueva morgue en el hospital municipal de oncologa≠≠a marie curie la prestacion comprendia el suministro de la totalidad de los materiales mano de obra herramientas desplazamiento de objetos y/o equipos o maquinarias y todos los elementos necesarios para realizar la tarea encomendada necesaria para la ejecucion de la obra;5394334;6;caballito;patricias argentinas av 150;-35∞ -19' 4,34'';-59∞ -33' 50,93'';15/9/2017;9/2/2017;7;100;dalkia argentina sociedad anonima  constructora lanusse sa unia≠Äún transitoria de empresas;2014;adicional de mantenimiento;71/2014;30711831874;vecinos;6;46213850;SI;
pasaje panama calle sustentable;Finalizada;espacio publico;subsecretaria de gestian comunal;el sector que se intervino esta situado en la calle panama al 900 entre las calles sarmiento y la av corrientes el objetivo de la obra fue mejorar el funcionamiento y optimizar el uso del espacio publico para los vecinos y ciudadanos que concurren da≠≠a a da≠≠a por esta calle se sectoriza una anica senda de estacionamiento vehicular a 45 grados y se implanta mayores superficies de verdes con vegetaciones autactonas en las esquinas y fajas verdes sobre los cordones;5725064;5;almagro;panama 901;-35∞ -21' 45,39'';-59∞ -33' 11,71'';14/12/2016;6/7/2017;7;100;vivero cuculo srl;2016;licitacion publica;1816/sigaf/2014;30650273652;60000;10;46213850;;
la redonda iglesia de belgrano;Finalizada;arquitectura;subsecretaria de gestian comunal;se trabaja en la mejora de plazas parques patios y plazoletas de la ciudad para que los vecinos de todas las comunas continaen disfrutando del espacio publico el mantenimiento integral de los espacios verdes se pensa con el objetivo de mejorar el estado de los espacios verdes de la ciudad que constituyen puntos de encuentro de vecinos y fomentan la interaccian la actividad fa≠≠sica y el juego;7112537;13;belgrano;vuelta de obligado 2050;-35∞ -27' 54,38'';-59∞ -32' 15,55'';30/9/2016;30/4/2017;7;100;eduardo caramian sacicif y a;2016;licitacion publica;1816/sigaf/2014;30517653183;vecinos;10;46213850;;12710939--IVC-2017
barrio fraga demoliciones;Finalizada;hidraulica e infraestructura;instituto de la vivienda;se demolieron los galpones existentes en el barrio fraga barrio chacarita comuna 15;9444494;15;chacarita;fraga y garcia teodoro;-35∞ -26' 41,95'';-59∞ -36' 53,36'';11/6/2017;15/1/2018;7;100;demoliciones mitre srl;2017;contratacian directa;25ivc2017;30657536551;2688;20;1,27E+11;;
edificio ateliers puesta en valor de fachada;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;en el marco de la recuperacian de fachadas del plan integral microcentro los trabajos que se realizaron en este edificio catalogado estuveron orientados a preservar las caractera≠≠sticas y valores que su arquitectura y el paisaje que tena≠≠a en las primeras dacadas del siglo pasado la puesta en valor de las fachadas en ambas calles comprendia el retiro de todos los elementos no originales de la fachada la recuperacian de las terminaciones y la reposician de los elementos originales perdidos conservando la transparencia y la opacidad las texturas los planos rectos y curvos la composician de los planos y la alta calidad espacial de terrazas patios y planta baja;3730049;1;retiro;paraguay y suipacha;-35∞ -24' 56,10'';-59∞ -33' 51,01'';4/1/2017;17/8/2017;7;100;cahem sa;2016;licitacion publica;1816/sigaf/2014;30708075910;vecinos;10;46213850;;
recuperacian de bajo autopistas 25 de mayo av entre raos av jujuy av boedo av la plata av j m moreno;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;se lleva a cabo la recuperacian del espacio publico y la puesta en valor de fachadas bajo autopista se incorporaron muros verdes y modulos backlight se realiza una intervencion arta≠≠stica en columnas t tablero autopista 25 de mayo y la renovacion de toda la iluminacion del area;38823979;5;boedo;boedo av y constitucion;-35∞ -24' 31,67'';-59∞ -36' 22,07'';1/1/2017;23/8/2017;7;100;algieri sa;2016;licitacion publica;1816/sigaf/2014;30699339810;vecinos;10;46213850;;
escuela primaria coman  08 dr dalmacio velez sarsfield mejora edilicia;Finalizada;escuelas;ministerio de educacion;obras para mejoramiento edilicio;3318737;9;liniers;fonrouge 370;-35∞ -25' 38,37'';-59∞ -38' 46,52'';20/2/2017;9/9/2017;7;100;co se ba construcciones y servicios buenos aires s a;2017;licitacion publica;1816/sigaf/2014;30678613033;vecinos;10;46213850;;
escuela primaria coman  13 presbatero alberti mejora edilicia;Finalizada;escuelas;ministerio de educacion;obras para mejoramiento edilicio;4997258;4;nueva pompeya;itaqui 2050;-35∞ -25' 29,71'';-59∞ -38' 47,79'';20/2/2017;9/9/2017;7;100;co se ba construcciones y servicios buenos aires s a;2017;licitacion publica;1816/sigaf/2014;30678613033;vecinos;10;46213850;;
escuela primaria coman  04 provincia de cardoba mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de instalacion electrica y acondicionamiento pluvial;2577752;14;palermo;scalabrini ortiz raul av 1336;-35∞ -24' 6,97'';-59∞ -37' 7,68'';18/5/2017;4/12/2017;7;100;ibasa sa;2017;licitacion publica;1816/sigaf/2014;30696429886;vecinos;5;46213850;;
esc normal superior  05 gral don martin miguel de gaemes obras generales;Finalizada;escuelas;ministerio de educacion;obra de refuncionalizacion;6603217;4;barracas;suarez av 2123;-35∞ -23' 22,70'';-59∞ -39' 13,38'';30/1/2017;24/8/2017;7;100;cia central de contrucciones srl;2017;licitacion publica;1816/sigaf/2014;30708008393;vecinos;15;46213850;;
esc primaria coman  01 casto munita obras generales;Finalizada;escuelas;ministerio de educacion;obra de impermeabilizacion y reparaciones varias en aulas y laboratorio;7030271;13;belgrano;cuba 2039;-35∞ -21' 1,63'';-59∞ -36' 16,81'';8/2/2017;6/9/2017;7;100;coypro sociedad anonima;2017;licitacion publica;1816/sigaf/2014;30615108290;vecinos;10;46213850;;
escuela primaria coman  30 granaderos de san martin mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de reforma y adecuacion de ascensor;1716020;14;palermo;del libertador av 4903;-35∞ -21' 21,61'';-59∞ -37' 41,83'';16/6/2017;27/1/2018;7;100;dilthey sa;2017;licitacion publica;1816/sigaf/2014;30711331847;vecinos;4;46213850;;
esc tecnica  01 ing otto krause obras generales;Finalizada;escuelas;ministerio de educacion;obra de mejoramiento edilicio;2979477;1;monserrat;paseo colan av 650;-35∞ -24' 53,28'';-59∞ -36' 22,32'';16/5/2017;15/12/2017;7;100;mediterraneo sa;2017;licitacion publica;1816/sigaf/2014;30566480618;vecinos;5;46213850;;
escuela primaria coman  09 josa maraa paz mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de mejoramiento edilicio;30144882;7;flores;falcon ramon lcnel 2934;-35∞ -22' 40,89'';-59∞ -36' 50,44'';30/3/2017;24/10/2017;7;100;co se ba construcciones y servicios buenos aires s a;2017;licitacion publica;1816/sigaf/2014;30678613033;vecinos;5;46213850;SI;
escuela primaria coman  05 vicente lapez y planes mejora edilicia;Finalizada;escuelas;ministerio de educacion;obra de mejoramiento edilicio;2198571;9;mataderos;tandil 6690;-35∞ -22' 32,98'';-59∞ -36' 11,48'';6/3/2017;24/10/2017;7;100;co se ba construcciones y servicios buenos aires s a;2017;licitacion publica;1816/sigaf/2014;30678613033;vecinos;5;46213850;SI;
esc primaria coman  18 provincia de tierra del fuego obras generales;Finalizada;escuelas;ministerio de educacion;obra de ampliacion edilicia;5600000;11;villa santa rita;dantas julio s 3260;-35∞ -21' 2,88'';-59∞ -30' 24,56'';6/10/2016;29/5/2017;7;100;industrias mas srl;2016;licitacion publica;1816/sigaf/2014;30707041990;vecinos;10;46213850;;
9 de julio y av san juan bajo puente puesta en valor;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;espacios verdes;1200000;1;constitucion;9 de julio av y san juan av;-35∞ -20' 47,50'';-59∞ -31' 36,97'';15/3/2017;6/10/2017;7;100;urbaser argentina sa  ceob sa ute;2017;licitacion publica;1816/sigaf/2014;30714682489;vecinos;10;46213850;;
plaza gould puesta en valor;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;espacios verdes;30549556;14;palermo;sarmiento av 3504;-35∞ -23' 27,88'';-59∞ -35' 43,33'';22/3/2017;25/10/2017;7;100;parquizar ses sa  mantelectric icisa ute;2017;licitacion publica;1816/sigaf/2014;33714746559;vecinos;10;46213850;;
boulevard vera penialoza;Finalizada;espacio publico;ministerio de espacio publico e higiene urbana;espacios verdes;6500000;1;puerto madero;vera penialoza rosario y dealessi pierina;-35∞ -22' 20,85'';-59∞ -34' 9,07'';10/4/2017;17/11/2017;7;100;algieri sa;2017;licitacion publica;1816/sigaf/2014;30699339810;vecinos;10;46213850;;
barrio 31 calle manzana 104 y 12;Finalizada;espacio publico;ministerio de desarrollo humano y habitat;se implementa una nueva infraestructura red de cloaca red pluvial tendido de caaera≠≠a electricared de agua y pavimento de la calle de la manzana 104 y 12;19998005;1;retiro;gendarmeria nacional av 689;-35∞ -23' 37,50'';-59∞ -30' 24,49'';15/7/2016;20/2/2017;7;100;kopar sa;2016;contratacian directa;2656sigaf/16;30707504990;43190;10;1,50E+11;;
